date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:08:38	78268/78268	---M--	200	added ('OK')	font/woff2	etag:%22131bc-647c4822-f445e016fb93554f;;;%22	https://marveltheme.com/tf/html/bentofolio-html/assets/fontawsome/webfonts/fa-solid-900.woff2	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/fontawsome/webfonts/fa-solid-900.woff2	(from https://marveltheme.com/tf/html/bentofolio-html/assets/fontawsome/css/all.min.css)
23:08:39	202744/202744	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22317f8-647c4822-2c400b5d5bee3dfe;gz%22	https://marveltheme.com/tf/html/bentofolio-html/assets/fontawsome/webfonts/fa-solid-900.ttf	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/fontawsome/webfonts/fa-solid-900.ttf	(from https://marveltheme.com/tf/html/bentofolio-html/assets/fontawsome/css/all.min.css)
23:08:40	1054/1054	---M-Z	200	added ('OK')	text/plain	etag:%22d50-6253234576840-gzip%22	https://www.w3.org/robots.txt		(from https://marveltheme.com/tf/html/bentofolio-html/index.html)
23:08:40	9196/9196	---M-Z	200	added ('OK')	image/svg+xml	etag:%2223ec-6605fd54-3971bf85fd3c3f62;gz%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/about-us/circle-text.svg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/about-us/circle-text.svg	(from https://marveltheme.com/tf/html/bentofolio-html/about.html)
23:08:40	9196/9196	---M-Z	200	added ('OK')	image/svg+xml	etag:%2223ec-6608224e-bad8ae1cc99cb53;gz%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/about-us/circle-text-light.svg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/about-us/circle-text-light.svg	(from https://marveltheme.com/tf/html/bentofolio-html/about.html)
23:08:40	1083/1083	---M-Z	200	added ('OK')	image/svg+xml	etag:%2243b-66061516-a4896456ed17b056;gz%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/icons/dribbble.svg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/icons/dribbble.svg	(from https://marveltheme.com/tf/html/bentofolio-html/about.html)
23:08:41	674/674	---M--	200	added ('OK')	image/png	etag:%222a2-66061572-3660d6c126056d9;;;%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/icons/awwwards.png	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/icons/awwwards.png	(from https://marveltheme.com/tf/html/bentofolio-html/about.html)
23:08:41	1665/1665	---M-Z	200	added ('OK')	image/svg+xml	etag:%22681-66061578-3a84ff0f416e6dff;gz%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/icons/behance.svg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/icons/behance.svg	(from https://marveltheme.com/tf/html/bentofolio-html/about.html)
23:08:42	36017/36017	---M-Z	200	added ('OK')	text/html	etag:%228cb1-660da38e-cc22eccc370924e1;gz%22	https://marveltheme.com/tf/html/bentofolio-html/article.html	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/article.html	(from https://marveltheme.com/tf/html/bentofolio-html/about.html)
23:08:43	918991/918991	---M-Z	200	added ('OK')	image/svg+xml	etag:%22e05cf-647c4822-b4794927e68ef1d9;gz%22	https://marveltheme.com/tf/html/bentofolio-html/assets/fontawsome/webfonts/fa-solid-900.svg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/fontawsome/webfonts/fa-solid-900.svg	(from https://marveltheme.com/tf/html/bentofolio-html/assets/fontawsome/css/all.min.css)
